arrival_time,tsval
1777266921.9479394,84620
1777266922.1522434,84820
1777266922.2094014,84880
1777266922.301063,84970
1777266922.4018073,85070
1777266922.5743256,85230
1777266922.768807,85430
1777266922.8151245,85480
1777266922.898395,85570
1777266923.0009582,85670
1777266923.1080694,85770
1777266923.202421,85870
1777266923.3001962,85970
1777266923.3995557,86070
1777266923.5873275,86250
1777266923.6392589,86310
1777266923.699832,86370
1777266923.805378,86470
1777266923.9989266,86660
1777266924.0480106,86710
1777266924.2091308,86870
1777266924.4149976,87080
1777266924.499048,87170
1777266924.6173391,87280
1777266924.6986396,87370
1777266924.812872,87480
1777266924.899687,87570
1777266925.021962,87690
1777266925.0994189,87770
1777266925.1993353,87870
1777266925.3026407,87970
1777266925.4001055,88070
1777266925.5018013,88170
1777266925.6013741,88270
1777266925.7062724,88370
1777266925.800181,88470
1777266925.8983085,88570
1777266925.9995456,88670
1777266926.1102715,88770
1777266926.2519734,88920
1777266926.304095,88970
1777266926.4586642,89120
1777266926.6611898,89330
1777266926.866689,89530
1777266927.069174,89730
1777266927.2776315,89940
1777266927.481532,90140
1777266927.5324318,90200
1777266927.6011791,90270
1777266927.7017803,90370
1777266927.799309,90470
1777266927.9019673,90570
1777266928.000789,90670
1777266928.111169,90770
1777266928.3015263,90970
1777266928.4005964,91070
1777266928.5047936,91170
1777266928.7117443,91370
1777266928.917038,91580
1777266929.1226747,91780
1777266929.3222022,91990
1777266929.5351853,92190
1777266929.733162,92400
1777266929.8066661,92470
1777266929.9425082,92600
1777266930.1434884,92810
1777266930.2075148,92870
1777266930.3464468,93010
1777266930.5484834,93220
1777266930.75315,93420
1777266930.8115315,93470
1777266930.9754689,93630
1777266931.02562,93690
1777266931.1692734,93830
1777266931.3751376,94040
1777266931.573868,94240
1777266931.7893736,94450
1777266931.8369613,94500
1777266931.9007416,94570
1777266932.004375,94670
1777266932.1147811,94770
1777266932.1978111,94870
1777266932.3948925,95060
1777266932.442974,95110
1777266932.5021024,95170
1777266932.6024575,95270
1777266932.8019652,95470
1777266932.8483622,95520
1777266932.904566,95570
1777266933.0195599,95670
