arrival_time,tsval
1777246686.279389,4980630
1777246686.3596928,4980730
1777246686.4613342,4980830
1777246686.597772,4980930
1777246686.6609967,4981030
1777246686.7624974,4981130
1777246686.9012053,4981270
1777246686.9691927,4981330
1777246687.1114058,4981470
1777246687.414923,4981780
1777246687.515414,4981880
1777246687.725304,4982090
1777246687.7767584,4982140
1777246687.8627894,4982230
1777246687.96663,4982330
1777246688.0666144,4982430
1777246688.3391383,4982700
1777246688.545199,4982910
1777246688.7563415,4983110
1777246688.95161,4983320
1777246689.165074,4983520
1777246689.2155826,4983580
1777246689.2712116,4983630
1777246689.3597493,4983730
1777246689.5689495,4983930
1777246689.7753298,4984140
1777246689.8729668,4984230
1777246689.9744601,4984330
1777246690.0694683,4984430
1777246690.1793418,4984530
1777246690.3891947,4984750
1777246690.475624,4984830
1777246690.568853,4984930
1777246690.6826448,4985030
1777246690.770298,4985130
1777246691.008185,4985370
1777246691.0654082,4985430
1777246691.1610503,4985530
1777246691.2702856,4985630
1777246691.361826,4985730
1777246691.4749272,4985830
1777246691.5672157,4985930
1777246691.66708,4986030
1777246691.7710574,4986130
1777246692.026595,4986390
1777246692.2258584,4986590
1777246692.443404,4986800
1777246692.6373677,4987000
1777246692.8552475,4987210
1777246692.9054527,4987270
1777246693.0453274,4987410
1777246693.0945385,4987460
1777246693.1605275,4987530
1777246693.2688239,4987630
1777246693.3635943,4987730
1777246693.4616587,4987830
1777246693.6622808,4988030
1777246693.714617,4988080
1777246693.7621238,4988130
1777246693.8617542,4988230
1777246694.0749893,4988440
1777246694.163251,4988530
1777246694.2637227,4988630
1777246694.4800248,4988850
1777246694.5859978,4988930
1777246694.661891,4989030
1777246694.8943715,4989260
1777246694.9687548,4989330
1777246695.0875626,4989430
1777246695.1711216,4989530
1777246695.3004572,4989660
1777246695.362445,4989730
1777246695.5043979,4989870
1777246695.7115512,4990080
1777246695.9118688,4990280
1777246695.9737544,4990330
1777246696.0740376,4990430
1777246696.1627097,4990530
1777246696.3257284,4990690
1777246696.3760507,4990740
1777246696.462326,4990830
1777246696.5619597,4990930
1777246696.6691658,4991030
1777246697.0618248,4991430
1777246697.1106286,4991480
1777246697.1618285,4991530
1777246697.28548,4991630
1777246697.372933,4991730
1777246697.5560913,4991920
1777246697.6069908,4991970
1777246697.6649258,4992030
1777246697.760185,4992130
1777246697.8689482,4992230
1777246697.9716115,4992330
1777246698.062911,4992430
1777246698.1754951,4992530
1777246698.2616146,4992630
1777246698.3740163,4992740
1777246698.5767415,4992940
1777246698.672516,4993030
1777246698.7618945,4993130
1777246698.8728566,4993230
1777246698.9771872,4993330
1777246699.0831091,4993430
1777246699.1956031,4993560
1777246699.2615316,4993630
1777246699.3727078,4993730
1777246699.4656153,4993830
1777246699.6119056,4993930
1777246699.6756985,4994030
1777246699.7608848,4994130
1777246700.010777,4994380
1777246700.0634687,4994430
1777246700.1765227,4994530
1777246700.421106,4994780
1777246700.477418,4994840
1777246700.561367,4994930
1777246700.839661,4995200
1777246700.8920372,4995260
1777246700.9609852,4995330
1777246701.0621796,4995430
1777246701.1639233,4995530
1777246701.2614162,4995630
1777246701.3700347,4995730
1777246701.4629853,4995830
1777246701.5631995,4995930
1777246701.6607168,4996030
1777246701.7625682,4996130
1777246701.8603144,4996230
1777246702.004732,4996330
1777246702.0784783,4996430
1777246702.1644156,4996530
1777246702.2642102,4996630
1777246702.369822,4996730
1777246702.4634876,4996830
1777246702.5953877,4996930
1777246702.6623597,4997030
1777246702.7780952,4997130
1777246702.8749988,4997230
1777246703.094295,4997450
1777246703.1828725,4997530
1777246703.2864475,4997650
1777246703.3629656,4997730
1777246703.480918,4997830
1777246703.6984227,4998060
1777246703.760569,4998130
1777246703.8626633,4998230
1777246703.9624019,4998330
1777246704.2087836,4998570
1777246704.2611918,4998630
1777246704.359446,4998730
1777246704.4621682,4998830
1777246704.7192688,4999090
1777246704.7716596,4999140
1777246704.8630533,4999230
1777246705.1305232,4999500
1777246705.187782,4999550
1777246705.2601898,4999630
1777246705.3600044,4999730
1777246705.4617262,4999830
1777246705.5606728,4999930
1777246705.7419126,5000110
1777246705.796643,5000160
1777246705.8723805,5000230
1777246705.9599843,5000330
1777246706.2609646,5000620
1777246706.3627677,5000730
1777246706.4719021,5000830
1777246706.5646317,5000930
1777246706.7703488,5001130
1777246706.8600476,5001230
1777246706.963046,5001330
1777246707.0650783,5001430
1777246707.1817622,5001530
1777246707.2804341,5001630
1777246707.391971,5001750
1777246707.5870953,5001950
1777246707.807271,5002170
1777246707.997599,5002360
1777246708.201577,5002570
1777246708.260911,5002630
1777246708.4180229,5002780
1777246708.6142066,5002980
1777246708.665131,5003030
1777246708.7618175,5003130
