arrival_time,tsval
1777850193.4704316,5778740
1777850194.4706216,5779740
1777850195.4755983,5780740
1777850196.4717994,5781740
1777850197.4778085,5782740
1777850198.4716775,5783740
1777850199.5073142,5784740
1777850200.4721003,5785740
1777850201.472772,5786740
1777850202.4715505,5787740
1777850203.4733896,5788740
1777850204.473884,5789740
1777850205.4724257,5790740
1777850206.4715514,5791740
1777850207.4724958,5792740
1777850208.476949,5793740
1777850209.49099,5794740
1777850210.4856803,5795740
1777850211.4731946,5796740
1777850212.4726198,5797740
1777850213.490175,5798740
1777850214.4728878,5799740
1777850215.4728034,5800740
1777850216.4782307,5801740
1777850217.4713206,5802740
1777850218.4727354,5803740
1777850219.4710674,5804740
1777850220.4716058,5805740
1777850221.4720795,5806740
1777850222.4696796,5807740
1777850223.4721994,5808740
1777850224.4705184,5809740
1777850225.4717937,5810740
1777850226.4706335,5811740
1777850227.4723997,5812740
1777850228.4723103,5813740
1777850229.4711802,5814740
1777850230.4803598,5815740
1777850231.474907,5816740
1777850232.4710374,5817740
1777850233.4724417,5818740
1777850234.4791355,5819740
1777850235.4702315,5820740
1777850236.4723144,5821740
1777850237.4717476,5822740
1777850238.4720256,5823740
1777850239.476611,5824740
1777850240.4739537,5825740
1777850241.472369,5826740
1777850242.47057,5827740
1777850243.4817653,5828740
1777850244.4713755,5829740
1777850245.470729,5830740
1777850246.472894,5831740
1777850247.471046,5832740
1777850248.472752,5833740
1777850249.4728787,5834740
1777850250.4743335,5835740
1777850251.473098,5836740
1777850252.473204,5837740
1777850253.4705915,5838740
1777850254.470387,5839740
1777850255.4710581,5840740
1777850256.476071,5841740
1777850257.4743807,5842740
1777850258.4714408,5843740
1777850259.4747396,5844740
1777850260.4718146,5845740
1777850261.4738014,5846740
1777850262.4743679,5847740
1777850263.4761405,5848740
1777850264.473013,5849740
1777850265.4725487,5850740
1777850266.4735892,5851740
1777850267.4715276,5852740
1777850268.4713883,5853740
1777850269.47218,5854740
1777850270.4723995,5855740
1777850271.4696074,5856740
1777850272.46904,5857740
1777850273.4708803,5858740
1777850274.481976,5859740
1777850275.4735353,5860740
1777850276.4733405,5861740
1777850277.4815187,5862740
1777850278.4718773,5863740
1777850279.47029,5864740
1777850280.4747777,5865740
1777850281.497083,5866740
1777850282.4737513,5867740
1777850283.4765933,5868740
1777850284.471001,5869740
1777850285.4696696,5870740
1777850286.4767673,5871740
1777850287.4722807,5872740
1777850288.470772,5873740
1777850289.4718869,5874740
1777850290.47471,5875740
1777850291.4867795,5876740
1777850292.4762342,5877740
1777850293.4784997,5878740
1777850294.471895,5879740
1777850295.4709976,5880740
1777850296.4730742,5881740
1777850297.4704409,5882740
1777850298.4758227,5883740
1777850299.4694593,5884740
1777850300.4706593,5885740
1777850301.4704866,5886740
1777850302.471951,5887740
1777850303.481295,5888740
1777850304.4699397,5889740
1777850305.4717834,5890740
1777850306.4727328,5891740
1777850307.477776,5892740
1777850308.4716818,5893740
1777850309.4710958,5894740
1777850310.4719753,5895740
1777850311.4746573,5896740
1777850312.4715319,5897740
1777850313.4712586,5898740
1777850314.4723022,5899740
1777850315.47382,5900740
1777850316.4742694,5901740
1777850317.4937398,5902740
1777850318.4823465,5903740
1777850319.4703598,5904740
1777850320.49714,5905740
1777850321.4749305,5906740
1777850322.469493,5907740
1777850323.469609,5908740
1777850324.4788768,5909740
1777850325.4776623,5910740
1777850326.471768,5911740
1777850327.4703588,5912740
1777850328.4858475,5913740
1777850329.4745932,5914740
1777850330.4715388,5915740
1777850331.469099,5916740
1777850332.4707963,5917740
1777850333.474735,5918740
1777850334.4899163,5919740
1777850335.4744174,5920740
1777850336.4736593,5921740
1777850337.4717972,5922740
1777850338.478994,5923740
1777850339.4745507,5924740
1777850340.4707081,5925740
1777850341.477045,5926740
1777850342.4723063,5927740
1777850343.4695914,5928740
1777850344.4689748,5929740
1777850345.470584,5930740
1777850346.4720588,5931740
1777850347.4727876,5932740
1777850348.4710739,5933740
1777850349.4702556,5934740
1777850350.4723794,5935740
1777850351.4734132,5936740
1777850352.4705293,5937740
1777850353.4727018,5938740
1777850354.470415,5939740
1777850355.4767506,5940740
1777850356.4725006,5941740
1777850357.472666,5942740
1777850358.482125,5943740
1777850359.4720268,5944740
1777850360.4686902,5945740
1777850361.4689906,5946740
1777850362.4699817,5947740
1777850363.4709063,5948740
1777850364.4706762,5949740
1777850365.473333,5950740
1777850366.47101,5951740
1777850367.4700267,5952740
1777850368.469737,5953740
1777850369.469962,5954740
1777850370.4738548,5955740
1777850371.4717011,5956740
1777850372.4697704,5957740
1777850373.472304,5958740
1777850374.469995,5959740
1777850375.480683,5960740
1777850376.4713902,5961740
1777850377.4699893,5962740
1777850378.4681256,5963740
1777850379.4766915,5964740
1777850380.4692132,5965740
1777850381.4695952,5966740
1777850382.4708374,5967740
1777850383.472036,5968740
1777850384.477054,5969740
1777850385.4703841,5970740
1777850386.4701223,5971740
1777850387.4808261,5972740
1777850388.4831326,5973740
1777850389.4730573,5974740
1777850390.472746,5975740
1777850391.4713993,5976740
1777850392.4719706,5977740
1777850393.4751148,5978740
1777850394.4693305,5979740
1777850395.4732044,5980740
1777850396.471043,5981740
1777850397.471382,5982740
1777850398.495323,5983740
1777850399.4765422,5984740
1777850400.4753308,5985740
1777850401.4698427,5986740
1777850402.470332,5987740
1777850403.470194,5988740
1777850404.469906,5989740
1777850405.471149,5990740
1777850406.470752,5991740
1777850407.471445,5992740
1777850408.4715328,5993740
1777850409.4813538,5994740
1777850410.4705198,5995740
1777850411.482033,5996740
1777850412.4816344,5997740
1777850413.4700634,5998740
1777850414.4754868,5999740
1777850415.469004,6000740
1777850416.4691558,6001740
1777850417.4729092,6002740
1777850418.4729066,6003740
1777850419.4974475,6004740
1777850420.4732878,6005740
1777850421.4682083,6006740
1777850422.4707417,6007740
1777850423.4843218,6008740
1777850424.4711177,6009740
1777850425.4710834,6010740
1777850426.4731205,6011740
1777850427.4689612,6012740
1777850428.4707005,6013740
1777850429.469626,6014740
1777850430.4705207,6015740
1777850431.471122,6016740
1777850432.4677486,6017740
1777850433.472676,6018740
1777850434.4823902,6019740
1777850435.4864042,6020740
1777850436.4784977,6021740
1777850437.4716067,6022740
1777850438.4733517,6023740
1777850439.4727597,6024740
1777850440.4709597,6025740
1777850441.4682748,6026740
1777850442.4701803,6027740
1777850443.4808438,6028740
1777850444.4707644,6029740
1777850445.4682934,6030740
1777850446.4740403,6031740
1777850447.4716132,6032740
1777850448.4708703,6033740
1777850449.4800858,6034740
