arrival_time,tsval
1777847957.3052344,3555670
1777847958.3072917,3556670
1777847959.3032691,3557670
1777847960.3071759,3558670
1777847961.3043146,3559670
1777847962.3045235,3560670
1777847963.31989,3561670
1777847964.3038945,3562670
1777847965.3053486,3563670
1777847966.303446,3564670
1777847967.306817,3565670
1777847968.3043342,3566670
1777847969.3110871,3567670
1777847970.3044808,3568670
1777847971.3044472,3569670
1777847972.3053522,3570670
1777847973.3027697,3571670
1777847974.302664,3572670
1777847975.3037415,3573670
1777847976.3026884,3574670
1777847977.2998734,3575670
1777847978.3046536,3576670
1777847979.3023946,3577670
1777847980.30601,3578670
1777847981.3022382,3579670
1777847982.3048582,3580670
1777847983.3030722,3581670
1777847984.3049898,3582670
1777847985.3032372,3583670
1777847986.3278863,3584670
1777847987.3038778,3585670
1777847988.302962,3586670
1777847989.3085883,3587670
1777847990.304802,3588670
1777847991.30082,3589670
1777847992.303933,3590670
1777847993.3029926,3591670
1777847994.2992394,3592670
1777847995.3021522,3593670
1777847996.3032417,3594670
1777847997.3044434,3595670
1777847998.3040617,3596670
1777847999.3026628,3597670
1777848000.306863,3598670
1777848001.3010163,3599670
1777848002.303087,3600670
1777848003.302788,3601670
1777848004.3065348,3602670
1777848005.3010383,3603670
1777848006.3025477,3604670
1777848007.302172,3605670
1777848008.3051767,3606670
1777848009.3061252,3607670
1777848010.302125,3608670
1777848011.3011446,3609670
1777848012.3027842,3610670
1777848013.300757,3611670
1777848014.30092,3612670
1777848015.3051374,3613670
1777848016.3063517,3614670
1777848017.3053916,3615670
1777848018.3003902,3616670
1777848019.306066,3617670
1777848020.3157978,3618670
1777848021.3068576,3619670
1777848022.300356,3620670
1777848023.3047931,3621670
1777848024.3025756,3622670
1777848025.3027165,3623670
1777848026.3015268,3624670
1777848027.3008084,3625670
1777848028.3023984,3626670
1777848029.301496,3627670
1777848030.3012724,3628670
1777848031.3080413,3629670
1777848032.304734,3630670
1777848033.3073199,3631670
1777848034.3034868,3632670
1777848035.3013964,3633670
1777848036.3044338,3634670
1777848037.3040032,3635670
1777848038.3025322,3636670
1777848039.301294,3637670
1777848040.3021305,3638670
1777848041.2997947,3639670
1777848042.3029807,3640670
1777848043.3026981,3641670
1777848044.304983,3642670
1777848045.3020642,3643670
1777848046.3017302,3644670
1777848047.3008788,3645670
1777848048.300613,3646670
1777848049.3027656,3647670
1777848050.3084624,3648670
1777848051.301599,3649670
1777848052.3023813,3650670
1777848053.3022156,3651670
1777848054.3029163,3652670
1777848055.301458,3653670
1777848056.301754,3654670
1777848057.3022306,3655670
1777848058.3033624,3656670
1777848059.3040397,3657670
1777848060.302571,3658670
1777848061.3039117,3659670
1777848062.3007598,3660670
1777848063.3040528,3661670
1777848064.3029816,3662670
1777848065.302334,3663670
1777848066.3016195,3664670
1777848067.3125408,3665670
1777848068.301564,3666670
1777848069.308238,3667670
1777848070.300591,3668670
1777848071.30246,3669670
1777848072.3007934,3670670
1777848073.3001428,3671670
1777848074.300706,3672670
1777848075.3020155,3673670
1777848076.302586,3674670
1777848077.2983973,3675670
1777848078.3028152,3676670
1777848079.3048258,3677670
1777848080.299984,3678670
1777848081.3042142,3679670
1777848082.3006623,3680670
1777848083.2998652,3681670
1777848084.3019722,3682670
1777848085.3001337,3683670
1777848086.3054893,3684670
1777848087.3029127,3685670
1777848088.3104987,3686670
1777848089.3043816,3687670
1777848090.3030975,3688670
1777848091.3016186,3689670
