arrival_time,tsval
1777865091.8136177,3907000
1777865092.8208144,3908000
1777865093.814937,3909000
1777865094.810685,3910000
1777865095.8130586,3911000
1777865096.8160946,3912000
1777865097.808618,3913000
1777865098.8160913,3914000
1777865099.8185961,3915000
1777865100.810014,3916000
1777865101.8097198,3917000
1777865102.810559,3918000
1777865103.810577,3919000
1777865104.8116672,3920000
1777865105.809738,3921000
1777865106.8112025,3922000
1777865107.8097448,3923000
1777865108.8117492,3924000
1777865109.8110108,3925000
1777865110.8156805,3926000
1777865111.8095758,3927000
1777865112.8107002,3928000
1777865113.8110557,3929000
1777865114.8097968,3930000
1777865115.809598,3931000
1777865116.8096042,3932000
1777865117.8105843,3933000
1777865118.8128748,3934000
1777865119.8122315,3935000
1777865120.813721,3936000
1777865121.8090427,3937000
1777865122.8121302,3938000
1777865123.8101552,3939000
1777865124.8114393,3940000
1777865125.8095505,3941000
1777865126.810726,3942000
1777865127.8130405,3943000
1777865128.8138952,3944000
1777865129.811285,3945000
1777865130.8107297,3946000
1777865131.8095648,3947000
1777865132.8125567,3948000
1777865133.8111784,3949000
1777865134.8114946,3950000
1777865135.8137758,3951000
1777865136.8146508,3952000
1777865137.8110666,3953000
1777865138.809685,3954000
1777865139.8127983,3955000
1777865140.812844,3956000
1777865141.8096166,3957000
1777865142.810848,3958000
1777865143.8160472,3959000
1777865144.8103094,3960000
1777865145.8105047,3961000
1777865146.810607,3962000
1777865147.818044,3963000
1777865148.8114603,3964000
1777865149.8243809,3965000
1777865150.8126166,3966000
1777865151.8118725,3967000
1777865152.8102572,3968000
1777865153.8109262,3969000
1777865154.809792,3970000
1777865155.8134239,3971000
1777865156.8099954,3972000
1777865157.812289,3973000
1777865158.8110132,3974000
1777865159.812306,3975000
1777865160.810539,3976000
1777865161.8128688,3977000
1777865162.811066,3978000
1777865163.8094788,3979000
1777865164.8105621,3980000
1777865165.8099945,3981000
1777865166.8126328,3982000
1777865167.8123727,3983000
1777865168.809266,3984000
1777865169.8136773,3985000
1777865170.8115866,3986000
1777865171.8115382,3987000
1777865172.813674,3988000
1777865173.809619,3989000
1777865174.810243,3990000
1777865175.8116229,3991000
1777865176.8152454,3992000
1777865177.811885,3993000
1777865178.809863,3994000
1777865179.8094008,3995000
1777865180.810839,3996000
1777865181.810779,3997000
1777865182.8111567,3998000
1777865183.8118954,3999000
1777865184.8137357,4000000
1777865185.813396,4001000
1777865186.8113604,4002000
1777865187.8135152,4003000
1777865188.8109155,4004000
1777865189.8110647,4005000
1777865190.8096087,4006000
1777865191.8105993,4007000
1777865192.8121176,4008000
1777865193.812472,4009000
1777865194.8104384,4010000
1777865195.8119454,4011000
1777865196.8116457,4012000
1777865197.8105867,4013000
1777865198.8142169,4014000
1777865199.8123014,4015000
1777865200.8087714,4016000
1777865201.8143814,4017000
1777865202.8117542,4018000
1777865203.8101366,4019000
1777865204.809177,4020000
1777865205.8125458,4021000
1777865206.8093548,4022000
1777865207.809595,4023000
1777865208.8147595,4024000
1777865209.815379,4025000
1777865210.8158004,4026000
1777865211.8406749,4027000
1777865212.8114266,4028000
1777865213.8182073,4029000
1777865214.8166037,4030000
1777865215.8226135,4031000
1777865216.8202093,4032000
1777865217.813789,4033000
1777865218.8117638,4034000
1777865219.8102453,4035000
1777865220.8112557,4036000
