arrival_time,tsval
1777866967.4070952,5817760
1777866968.4048269,5818760
1777866969.4082713,5819760
1777866970.4168243,5820760
1777866971.4049938,5821760
1777866972.4089792,5822760
1777866973.406839,5823760
1777866974.4083817,5824760
1777866975.4089432,5825760
1777866976.4118779,5826760
1777866977.4195764,5827760
1777866978.406707,5828760
1777866979.4069753,5829760
1777866980.4063222,5830760
1777866981.406638,5831760
1777866982.4163268,5832760
1777866983.4088073,5833760
1777866984.4052413,5834760
1777866985.406097,5835760
1777866986.4081635,5836760
1777866987.4118295,5837760
1777866988.404212,5838760
1777866989.40932,5839760
1777866990.4099817,5840760
1777866991.4065087,5841760
1777866992.4061103,5842760
1777866993.4053786,5843760
1777866994.4114602,5844760
1777866995.405202,5845760
1777866996.4088326,5846760
1777866997.4090116,5847760
1777866998.4078665,5848760
1777866999.405744,5849760
1777867000.406602,5850760
1777867001.405659,5851760
1777867002.4062703,5852760
1777867003.4060462,5853760
1777867004.4102092,5854760
1777867005.406305,5855760
1777867006.4043505,5856760
1777867007.4115334,5857760
1777867008.4055922,5858760
1777867009.4098954,5859760
1777867010.4079854,5860760
1777867011.4095092,5861760
1777867012.4083254,5862760
1777867013.40635,5863760
1777867014.4070287,5864760
1777867015.4056156,5865760
1777867016.4060311,5866760
1777867017.4065983,5867760
1777867018.4075239,5868760
1777867019.4059575,5869760
1777867020.4048197,5870760
1777867021.4053824,5871760
1777867022.4058352,5872760
1777867023.4110055,5873760
1777867024.4061587,5874760
1777867025.4086313,5875760
1777867026.4087744,5876760
1777867027.4073117,5877760
1777867028.4069135,5878760
1777867029.405711,5879760
1777867030.40571,5880760
1777867031.4051423,5881760
1777867032.4085147,5882760
1777867033.4065685,5883760
1777867034.4071486,5884760
1777867035.4060652,5885760
1777867036.4064348,5886760
1777867037.4068913,5887760
1777867038.4094853,5888760
1777867039.4064593,5889760
1777867040.4061716,5890760
1777867041.4124744,5891760
1777867042.4055173,5892760
1777867043.4072092,5893760
1777867044.4056923,5894760
1777867045.407341,5895760
1777867046.4068894,5896760
1777867047.4052992,5897760
1777867048.405116,5898760
1777867049.4079232,5899760
1777867050.4083455,5900760
1777867051.4107637,5901760
1777867052.4047108,5902760
1777867053.4053473,5903760
1777867054.422582,5904760
1777867055.40715,5905760
1777867056.4048567,5906760
1777867057.4071355,5907760
1777867058.411589,5908760
1777867059.407402,5909760
1777867060.4072366,5910760
1777867061.40644,5911760
1777867062.405417,5912760
1777867063.418315,5913760
1777867064.4055648,5914760
1777867065.4066935,5915760
1777867066.4057362,5916760
1777867067.4092119,5917760
1777867068.4125385,5918760
1777867069.406788,5919760
1777867070.4077775,5920760
1777867071.4085424,5921760
1777867072.406099,5922760
1777867073.4052534,5923760
1777867074.4053206,5924760
1777867075.4090304,5925760
1777867076.4068985,5926760
1777867077.4090354,5927760
1777867078.4076557,5928760
1777867079.4110785,5929760
1777867080.4049823,5930760
1777867081.4067504,5931760
1777867082.405066,5932760
1777867083.403746,5933760
1777867084.4050748,5934760
1777867085.4065182,5935760
1777867086.4050221,5936760
1777867087.4051614,5937760
1777867088.405856,5938760
1777867089.406521,5939760
1777867090.4044497,5940760
1777867091.4052618,5941760
1777867092.4071045,5942760
1777867093.4061599,5943760
1777867094.4051378,5944760
1777867095.4049237,5945760
1777867096.4071016,5946760
1777867097.408326,5947760
1777867098.4146898,5948760
1777867099.4082608,5949760
1777867100.4082055,5950760
1777867101.4072506,5951760
1777867102.4081745,5952760
1777867103.406039,5953760
1777867104.409441,5954760
1777867105.418394,5955760
1777867106.4062378,5956760
1777867107.4052122,5957760
1777867108.4063103,5958760
1777867109.405712,5959760
1777867110.4051976,5960760
1777867111.4086285,5961760
1777867112.4044297,5962760
1777867113.4063513,5963760
1777867114.412731,5964760
1777867115.4096134,5965760
1777867116.4054368,5966760
1777867117.4068377,5967760
1777867118.4057977,5968760
1777867119.407236,5969760
1777867120.4054458,5970760
1777867121.4057786,5971760
1777867122.4069457,5972760
1777867123.4049785,5973760
1777867124.407221,5974760
1777867125.4045343,5975760
1777867126.405015,5976760
1777867127.4064243,5977760
1777867128.4071348,5978760
1777867129.4068532,5979760
1777867130.4064403,5980760
1777867131.4056537,5981760
1777867132.4061844,5982760
1777867133.4054098,5983760
1777867134.4045267,5984760
1777867135.4068382,5985760
1777867136.4049473,5986760
1777867137.4033628,5987760
1777867138.4052546,5988760
1777867139.4113958,5989760
1777867140.4056158,5990760
1777867141.4043984,5991760
1777867142.4074776,5992760
1777867143.404117,5993760
1777867144.4045477,5994760
1777867145.4054751,5995760
1777867146.405664,5996760
1777867147.4058068,5997760
1777867148.4099796,5998760
1777867149.4054506,5999760
1777867150.4055517,6000760
1777867151.4057176,6001760
1777867152.4040272,6002760
1777867153.4050443,6003760
1777867154.4082901,6004760
1777867155.4066637,6005760
1777867156.416117,6006760
1777867157.4057984,6007760
1777867158.4040866,6008760
1777867159.4052653,6009760
1777867160.4058049,6010760
1777867161.4046166,6011760
1777867162.4071646,6012760
1777867163.4041407,6013760
1777867164.4056025,6014760
1777867165.4055448,6015760
1777867166.405887,6016760
1777867167.4116695,6017760
1777867168.4073272,6018760
1777867169.4054103,6019760
1777867170.4038348,6020760
1777867171.4026113,6021760
1777867172.4053836,6022760
1777867173.4088845,6023760
1777867174.4041975,6024760
1777867175.4108322,6025760
1777867176.4061992,6026760
1777867177.4041646,6027760
1777867178.407947,6028760
1777867179.4092183,6029760
1777867180.4065506,6030760
1777867181.405201,6031760
1777867182.4071207,6032760
1777867183.4079776,6033760
1777867184.405779,6034760
1777867185.4075403,6035760
1777867186.4041128,6036760
1777867187.4059188,6037760
1777867188.4052389,6038760
1777867189.40648,6039760
1777867190.4060466,6040760
1777867191.4065614,6041760
1777867192.417334,6042760
1777867193.4049034,6043760
1777867194.4042885,6044760
1777867195.4210966,6045760
1777867196.4067636,6046760
1777867197.4046986,6047760
1777867198.4075255,6048760
1777867199.4056253,6049760
1777867200.406538,6050760
1777867201.4076083,6051760
1777867202.4081295,6052760
1777867203.4082181,6053760
1777867204.4061952,6054760
1777867205.408608,6055760
1777867206.405966,6056760
1777867207.4077017,6057760
1777867208.4166906,6058760
1777867209.4048464,6059760
1777867210.4036613,6060760
1777867211.406341,6061760
1777867212.4048798,6062760
1777867213.4082346,6063760
1777867214.4065132,6064760
1777867215.4064996,6065760
1777867216.4055882,6066760
1777867217.404935,6067760
1777867218.4050019,6068760
1777867219.4060886,6069760
1777867220.5063179,6070760
1777867221.4102597,6071760
1777867222.4103208,6072760
1777867223.4465377,6073760
1777867224.405046,6074760
1777867225.4086704,6075760
1777867226.4106014,6076760
1777867227.4063158,6077760
1777867228.4054346,6078760
1777867229.4060173,6079760
1777867230.406476,6080760
1777867231.414215,6081760
1777867232.403621,6082760
1777867233.4054053,6083760
1777867234.404858,6084760
1777867235.4050286,6085760
1777867236.40693,6086760
1777867237.4073415,6087760
1777867238.4068613,6088760
1777867239.404776,6089760
1777867240.404163,6090760
1777867241.4108305,6091760
1777867242.4063568,6092760
1777867243.4045155,6093760
1777867244.4048796,6094760
1777867245.405549,6095760
1777867246.4206758,6096760
1777867247.4075713,6097760
1777867248.406114,6098760
1777867249.4040563,6099760
1777867250.408983,6100760
1777867251.4031904,6101760
1777867252.4039204,6102760
1777867253.403997,6103760
1777867254.4028609,6104760
1777867255.404119,6105760
1777867256.4051497,6106760
1777867257.4086857,6107760
1777867258.4076111,6108760
1777867259.4053135,6109760
1777867260.40603,6110760
1777867261.402368,6111760
1777867262.4022639,6112760
1777867263.4018662,6113760
1777867264.4116478,6114760
1777867265.4035811,6115760
1777867266.4064753,6116760
1777867267.4048483,6117760
1777867268.4032028,6118760
1777867269.4032605,6119760
1777867270.402687,6120760
1777867271.4051178,6121760
1777867272.402802,6122760
1777867273.411964,6123760
1777867274.4023,6124760
1777867275.4033668,6125760
1777867276.4030728,6126760
1777867277.4028208,6127760
1777867278.403526,6128760
1777867279.4146662,6129760
1777867280.4066484,6130760
1777867281.4148061,6131760
1777867282.4056358,6132760
1777867283.4039512,6133760
1777867284.4091551,6134760
1777867285.4051952,6135760
1777867286.4101999,6136760
1777867287.4029531,6137760
1777867288.4044614,6138760
1777867289.404175,6139760
1777867290.4036045,6140760
1777867291.4146502,6141760
1777867292.4039261,6142760
1777867293.4056103,6143760
1777867294.405785,6144760
1777867295.404432,6145760
1777867296.4043164,6146760
1777867297.406675,6147760
1777867298.4072647,6148760
1777867299.4051821,6149760
1777867300.4032328,6150760
1777867301.409792,6151760
1777867302.4029698,6152760
1777867303.4034438,6153760
1777867304.404093,6154760
1777867305.4059556,6155760
1777867306.405674,6156760
1777867307.4172564,6157760
1777867308.4046695,6158760
1777867309.4163623,6159760
1777867310.4036367,6160760
1777867311.4048834,6161760
1777867312.4085298,6162760
1777867313.4031465,6163760
1777867314.4059508,6164760
1777867315.4034042,6165760
1777867316.4047287,6166760
1777867317.4043047,6167760
1777867318.4037864,6168760
1777867319.404334,6169760
1777867320.403221,6170760
1777867321.404299,6171760
1777867322.408147,6172760
1777867323.4049714,6173760
1777867324.4046245,6174760
1777867325.405229,6175760
1777867326.4036477,6176760
1777867327.4116602,6177760
1777867328.4039896,6178760
1777867329.4024162,6179760
1777867330.4061146,6180760
1777867331.4095592,6181760
1777867332.4046268,6182760
1777867333.404163,6183760
1777867334.4035969,6184760
1777867335.402979,6185760
1777867336.4037528,6186760
1777867337.4033105,6187760
1777867338.4032183,6188760
1777867339.406847,6189760
1777867340.4078553,6190760
1777867341.4031801,6191760
1777867342.401917,6192760
1777867343.4130447,6193760
1777867344.4061751,6194760
1777867345.4061499,6195760
1777867346.4032829,6196760
1777867347.4040203,6197760
1777867348.4062166,6198760
1777867349.4106522,6199760
1777867350.4037468,6200760
1777867351.4084542,6201760
1777867352.403555,6202760
1777867353.4032018,6203760
1777867354.4046142,6204760
1777867355.402768,6205760
1777867356.409341,6206760
1777867357.4026148,6207760
1777867358.4035037,6208760
1777867359.4033055,6209760
1777867360.4040663,6210760
1777867361.4040937,6211760
1777867362.404621,6212760
1777867363.4028356,6213760
1777867364.4048612,6214760
1777867365.4048684,6215760
1777867366.401823,6216760
1777867367.4024177,6217760
1777867368.4029856,6218760
1777867369.4036043,6219760
1777867370.4026399,6220760
1777867371.4099271,6221760
1777867372.4026167,6222760
1777867373.402185,6223760
1777867374.4165022,6224760
1777867375.4075701,6225760
1777867376.4021504,6226760
1777867377.4148312,6227760
1777867378.4093513,6228760
1777867379.4034882,6229760
1777867380.4035766,6230760
1777867381.403152,6231760
1777867382.4042099,6232760
1777867383.403081,6233760
1777867384.402853,6234760
1777867385.404016,6235760
1777867386.4028146,6236760
1777867387.4043918,6237760
1777867388.4041858,6238760
1777867389.406015,6239760
1777867390.4042284,6240760
1777867391.4044793,6241760
1777867392.403304,6242760
1777867393.4028916,6243760
1777867394.4024963,6244760
1777867395.4094381,6245760
1777867396.4049947,6246760
1777867397.4028609,6247760
1777867398.4066403,6248760
1777867399.4063435,6249760
1777867400.4030683,6250760
1777867401.4030414,6251760
1777867402.403077,6252760
1777867403.4036298,6253760
1777867404.4030523,6254760
1777867405.4034672,6255760
1777867406.4023302,6256760
1777867407.4037392,6257760
1777867408.4027119,6258760
1777867409.4047909,6259760
1777867410.4051435,6260760
1777867411.4042068,6261760
1777867412.4093924,6262760
1777867413.4035873,6263760
1777867414.403248,6264760
1777867415.4018753,6265760
1777867416.4025292,6266760
1777867417.4018,6267760
1777867418.4064627,6268760
1777867419.4030383,6269760
1777867420.4027638,6270760
1777867421.415254,6271760
1777867422.4026217,6272760
1777867423.4047117,6273760
1777867424.4018989,6274760
1777867425.4026382,6275760
1777867426.4044147,6276760
1777867427.404535,6277760
1777867428.4088087,6278760
1777867429.4054375,6279760
1777867430.4023623,6280760
1777867431.4088063,6281760
1777867432.4022453,6282760
1777867433.403478,6283760
1777867434.403637,6284760
1777867435.4072123,6285760
1777867436.4045386,6286760
1777867437.4044125,6287760
1777867438.4056344,6288760
1777867439.403706,6289760
1777867440.4014852,6290760
1777867441.4019496,6291760
1777867442.4153225,6292760
1777867443.4029524,6293760
1777867444.4022603,6294760
1777867445.4046297,6295760
1777867446.403024,6296760
1777867447.4037333,6297760
1777867448.4015694,6298760
1777867449.4057639,6299760
1777867450.4033458,6300760
1777867451.4070318,6301760
1777867452.403111,6302760
1777867453.403456,6303760
1777867454.4036877,6304760
1777867455.4063451,6305760
1777867456.4018888,6306760
1777867457.4053106,6307760
1777867458.4010067,6308760
1777867459.4040515,6309760
1777867460.4010677,6310760
1777867461.4032538,6311760
1777867462.4049513,6312760
1777867463.4099517,6313760
1777867464.4050443,6314760
1777867465.403745,6315760
1777867466.4052005,6316760
1777867467.4081433,6317760
1777867468.4125164,6318760
1777867469.4053724,6319760
1777867470.4077766,6320760
1777867471.4027007,6321760
1777867472.403657,6322760
1777867473.4037635,6323760
1777867474.4035509,6324760
1777867475.402982,6325760
1777867476.407347,6326760
1777867477.4046795,6327760
1777867478.4051564,6328760
1777867479.401553,6329760
1777867480.4026246,6330760
1777867481.4023428,6331760
