arrival_time,tsval
1777520186.425263,11350
1777520187.4286962,12350
1777520188.4291546,13350
1777520189.424737,14350
1777520190.4277437,15350
1777520191.426446,16350
1777520192.425452,17350
1777520193.4260457,18350
1777520194.424873,19350
1777520195.424733,20350
1777520196.4245832,21350
1777520197.4280558,22350
1777520198.4253347,23350
1777520199.4261935,24350
1777520200.4267733,25350
1777520201.4262116,26350
1777520202.4271054,27350
1777520203.424447,28350
1777520204.4260335,29350
1777520205.4274848,30350
1777520206.42995,31350
1777520207.428975,32350
1777520208.427104,33350
1777520209.4247475,34350
1777520210.4293542,35350
1777520211.4285026,36350
1777520212.4288113,37350
1777520213.4246695,38350
1777520214.428991,39350
1777520215.428324,40350
1777520216.4249299,41350
1777520217.4263752,42350
1777520218.4264355,43350
1777520219.4240453,44350
1777520220.425923,45350
1777520221.429729,46350
1777520222.4251955,47350
1777520223.4257495,48350
1777520224.426183,49350
1777520225.4241421,50350
1777520226.4256084,51350
1777520227.4237537,52350
1777520228.4244752,53350
1777520229.4247077,54350
1777520230.4244783,55350
1777520231.4273024,56350
1777520232.4245825,57350
1777520233.427506,58350
1777520234.4251275,59350
1777520235.4254584,60350
1777520236.4270368,61350
1777520237.425016,62350
1777520238.4242117,63350
1777520239.4273343,64350
1777520240.4275353,65350
1777520241.4295895,66350
1777520242.4268286,67350
1777520243.4266455,68350
1777520244.425144,69350
1777520245.4266567,70350
1777520246.4246995,71350
1777520247.4245708,72350
1777520248.4252667,73350
1777520249.4273975,74350
1777520250.4405115,75350
1777520251.424878,76350
1777520252.4280407,77350
1777520253.4254322,78350
1777520254.4258437,79350
1777520255.4249332,80350
1777520256.4237404,81350
1777520257.4249873,82350
1777520258.42521,83350
1777520259.4255238,84350
1777520260.4240873,85350
1777520261.429415,86350
1777520262.4306178,87350
1777520263.4254596,88350
1777520264.4270062,89350
1777520265.4270544,90350
1777520266.424952,91350
1777520267.426881,92350
1777520268.4266486,93350
1777520269.4276154,94350
1777520270.4255135,95350
1777520271.426539,96350
1777520272.4252124,97350
1777520273.4249074,98350
1777520274.4333813,99350
1777520275.427798,100350
1777520276.4253523,101350
1777520277.4237368,102350
1777520278.4236407,103350
1777520279.4234939,104350
1777520280.4236417,105350
1777520281.4232924,106350
1777520282.4245934,107350
1777520283.4229357,108350
1777520284.424594,109350
1777520285.426526,110350
1777520286.425209,111350
1777520287.4264617,112350
1777520288.4250376,113350
1777520289.425627,114350
1777520290.4271986,115350
1777520291.4267406,116350
1777520292.4296305,117350
1777520293.4261374,118350
1777520294.4277847,119350
1777520295.423263,120350
1777520296.428021,121350
1777520297.4245663,122350
1777520298.4264731,123350
1777520299.4267414,124350
1777520300.4249296,125350
1777520301.4244359,126350
1777520302.42436,127350
1777520303.4255238,128350
1777520304.432123,129350
1777520305.4247599,130350
1777520306.4278982,131350
1777520307.425438,132350
1777520308.4276197,133350
1777520309.4250236,134350
1777520310.4281425,135350
1777520311.4263527,136350
1777520312.4255135,137350
1777520313.4226217,138350
1777520314.4266062,139350
1777520315.4234138,140350
1777520316.44068,141350
1777520317.423702,142350
1777520318.4259377,143350
1777520319.425119,144350
1777520320.424178,145350
1777520321.4229596,146350
1777520322.4227345,147350
1777520323.422795,148350
1777520324.4231508,149350
1777520325.4227586,150350
1777520326.4232347,151350
1777520327.4279008,152350
1777520328.4249175,153350
1777520329.4250405,154350
1777520330.4268336,155350
1777520331.4251666,156350
1777520332.4250498,157350
1777520333.4279683,158350
1777520334.4299803,159350
1777520335.4227135,160350
1777520336.4245102,161350
1777520337.424128,162350
1777520338.423833,163350
1777520339.4241176,164350
1777520340.4263222,165350
1777520341.4224164,166350
1777520342.4254866,167350
1777520343.4222612,168350
1777520344.4234996,169350
1777520345.422561,170350
1777520346.424546,171350
1777520347.4236648,172350
1777520348.4244015,173350
1777520349.4268692,174350
1777520350.4242587,175350
1777520351.4296381,176350
1777520352.4228318,177350
1777520353.424387,178350
1777520354.4251769,179350
1777520355.4285243,180350
1777520356.4282944,181350
1777520357.4317691,182350
1777520358.4233336,183350
1777520359.4263415,184350
1777520360.423583,185350
1777520361.4256513,186350
1777520362.422514,187350
1777520363.4251673,188350
1777520364.4224942,189350
1777520365.4254155,190350
1777520366.4223464,191350
1777520367.4280663,192350
1777520368.425343,193350
1777520369.4397783,194350
1777520370.4219646,195350
1777520371.4243417,196350
1777520372.424215,197350
1777520373.4291704,198350
1777520374.4266243,199350
1777520375.421892,200350
1777520376.4244158,201350
1777520377.4318671,202350
1777520378.423216,203350
1777520379.4259822,204350
1777520380.4213614,205350
1777520381.4211652,206350
1777520382.4235725,207350
1777520383.422513,208350
1777520384.4226158,209350
1777520385.4252567,210350
1777520386.4252212,211350
1777520387.4240494,212350
1777520388.4256308,213350
1777520389.422739,214350
1777520390.4251168,215350
1777520391.4238477,216350
1777520392.4270155,217350
1777520393.4223518,218350
1777520394.4218643,219350
1777520395.4237032,220350
1777520396.4215047,221350
1777520397.4218075,222350
1777520398.424982,223350
1777520399.4225495,224350
1777520400.423453,225350
1777520401.4215612,226350
1777520402.423328,227350
1777520403.4245365,228350
1777520404.422527,229350
1777520405.42502,230350
1777520406.4220052,231350
1777520407.425023,232350
1777520408.4236197,233350
1777520409.4236214,234350
1777520410.4281285,235350
1777520411.4240465,236350
1777520412.423457,237350
1777520413.4248812,238350
1777520414.421313,239350
1777520415.4243047,240350
1777520416.4232302,241350
1777520417.4242084,242350
1777520418.4254026,243350
1777520419.4224772,244350
1777520420.4272614,245350
1777520421.4240057,246350
1777520422.4246328,247350
1777520423.4231691,248350
1777520424.42218,249350
1777520425.4225779,250350
1777520426.4227173,251350
1777520427.4292881,252350
1777520428.4228623,253350
1777520429.424434,254350
1777520430.4309251,255350
1777520431.4248466,256350
1777520432.4225228,257350
1777520433.4229488,258350
1777520434.4256375,259350
1777520435.4248714,260350
1777520436.4230769,261350
1777520437.4239507,262350
1777520438.4220254,263350
1777520439.4282901,264350
1777520440.4230218,265350
1777520441.4270847,266350
1777520442.421951,267350
1777520443.4238648,268350
1777520444.420934,269350
1777520445.4204707,270350
1777520446.423535,271350
1777520447.4257123,272350
1777520448.4220402,273350
1777520449.4225612,274350
1777520450.424314,275350
1777520451.4218938,276350
1777520452.424476,277350
1777520453.425247,278350
1777520454.4220183,279350
1777520455.4220831,280350
1777520456.4207346,281350
1777520457.42539,282350
1777520458.4233372,283350
1777520459.4228444,284350
1777520460.4200559,285350
1777520461.4280128,286350
1777520462.4286675,287350
1777520463.420806,288350
1777520464.423822,289350
1777520465.4206216,290350
1777520466.4234006,291350
1777520467.421161,292350
1777520468.4209282,293350
1777520469.4217253,294350
1777520470.4223518,295350
