arrival_time,tsval
1777844808.5141125,393740
1777844809.514732,394740
1777844810.5146487,395740
1777844811.5165505,396740
1777844812.5160365,397740
1777844813.5189626,398740
1777844814.5191019,399740
1777844815.5183253,400740
1777844816.5155013,401740
1777844817.5161686,402740
1777844818.5152144,403740
1777844819.516649,404740
1777844820.5155678,405740
1777844821.5128937,406740
1777844822.5129685,407740
1777844823.515601,408740
1777844824.51706,409740
1777844825.5137916,410740
1777844826.5155914,411740
1777844827.5149825,412740
1777844828.5223603,413740
1777844829.516423,414740
1777844830.514802,415740
1777844831.5151305,416740
1777844832.5167048,417740
1777844833.5151923,418740
1777844834.5148041,419740
1777844835.5151706,420740
1777844836.5184438,421740
1777844837.5307448,422740
1777844838.5202734,423740
1777844839.5161214,424740
1777844840.5156467,425740
1777844841.515803,426740
1777844842.5134,427740
1777844843.514932,428740
1777844844.5153425,429740
1777844845.5209653,430740
1777844846.515054,431740
1777844847.5160122,432740
1777844848.514693,433740
1777844849.5148141,434740
1777844850.5145414,435740
1777844851.512658,436740
1777844852.5152516,437740
1777844853.5147846,438740
1777844854.5147328,439740
1777844855.5128095,440740
1777844856.5114768,441740
1777844857.519665,442740
1777844858.5233545,443740
1777844859.5129845,444740
1777844860.5163438,445740
1777844861.5150003,446740
1777844862.5127096,447740
1777844863.513518,448740
1777844864.5187883,449740
1777844865.5275612,450740
1777844866.5154064,451740
1777844867.5206702,452740
1777844868.5132108,453740
1777844869.5141852,454740
1777844870.5136213,455740
1777844871.5161824,456740
1777844872.5138972,457740
1777844873.5160708,458740
1777844874.5142477,459740
1777844875.5291235,460740
1777844876.5170174,461740
1777844877.5158036,462740
1777844878.5146856,463740
1777844879.5190313,464740
1777844880.512407,465740
1777844881.5127828,466740
1777844882.5156243,467740
1777844883.514571,468740
1777844884.5138435,469740
1777844885.5135505,470740
1777844886.5152152,471740
1777844887.51386,472740
1777844888.5158846,473740
1777844889.5150945,474740
1777844890.5167823,475740
1777844891.5210497,476740
1777844892.5171416,477740
1777844893.5130258,478740
1777844894.5137508,479740
1777844895.5170927,480740
1777844896.5160315,481740
1777844897.5150814,482740
1777844898.515013,483740
1777844899.5163615,484740
1777844900.5136573,485740
1777844901.5131588,486740
1777844902.5135152,487740
1777844903.5225308,488740
1777844904.516244,489740
1777844905.535,490740
1777844906.5179133,491740
1777844907.5128856,492740
1777844908.5128746,493740
1777844909.5258842,494740
1777844910.513759,495740
1777844911.5136878,496740
1777844912.5131216,497740
1777844913.5181115,498740
1777844914.5177467,499740
1777844915.5131106,500740
1777844916.5132189,501740
1777844917.516337,502740
1777844918.5166273,503740
1777844919.516982,504740
1777844920.5153418,505740
1777844921.5146377,506740
1777844922.5184994,507740
1777844923.514232,508740
1777844924.5172858,509740
1777844925.5156882,510740
1777844926.521609,511740
1777844927.5160496,512740
1777844928.5148346,513740
1777844929.5146859,514740
1777844930.5146046,515740
1777844931.5152123,516740
1777844932.5143864,517740
1777844933.523422,518740
1777844934.5152724,519740
1777844935.513884,520740
1777844936.5121086,521740
1777844937.5130284,522740
1777844938.5132027,523740
1777844939.5132446,524740
1777844940.515592,525740
1777844941.5137565,526740
1777844942.514433,527740
1777844943.5168638,528740
1777844944.513707,529740
1777844945.5189579,530740
1777844946.5152462,531740
1777844947.5126886,532740
1777844948.5137553,533740
1777844949.5134096,534740
1777844950.5137093,535740
1777844951.5151124,536740
1777844952.5170357,537740
1777844953.5114887,538740
1777844954.5125284,539740
1777844955.517085,540740
1777844956.5138826,541740
1777844957.516598,542740
1777844958.514738,543740
1777844959.5244472,544740
1777844960.5134313,545740
1777844961.51732,546740
1777844962.5148613,547740
1777844963.5125797,548740
1777844964.5226486,549740
1777844965.5196574,550740
1777844966.517062,551740
1777844967.512612,552740
1777844968.5115402,553740
1777844969.511886,554740
1777844970.517464,555740
1777844971.515291,556740
1777844972.511563,557740
1777844973.5138423,558740
1777844974.513602,559740
1777844975.5153213,560740
1777844976.5122297,561740
1777844977.5132132,562740
1777844978.5170271,563740
1777844979.51826,564740
1777844980.5126822,565740
1777844981.5146453,566740
1777844982.517441,567740
1777844983.5139093,568740
1777844984.5123029,569740
1777844985.516224,570740
1777844986.514109,571740
1777844987.5147252,572740
1777844988.5160234,573740
1777844989.5112936,574740
1777844990.5154705,575740
1777844991.5123587,576740
1777844992.5119586,577740
1777844993.5159695,578740
1777844994.5148852,579740
1777844995.515691,580740
1777844996.5112412,581740
1777844997.511313,582740
1777844998.5109446,583740
1777844999.5140178,584740
1777845000.5280526,585740
1777845001.510809,586740
1777845002.5122,587740
1777845003.5158684,588740
1777845004.5152988,589740
1777845005.516103,590740
1777845006.5139382,591740
1777845007.5129488,592740
1777845008.5144596,593740
1777845009.512218,594740
1777845010.512338,595740
1777845011.5137053,596740
1777845012.5130239,597740
1777845013.5133522,598740
1777845014.512406,599740
1777845015.5116103,600740
1777845016.511549,601740
1777845017.5145297,602740
1777845018.5136082,603740
1777845019.5121791,604740
1777845020.5116324,605740
1777845021.5168269,606740
1777845022.5121896,607740
1777845023.5123894,608740
1777845024.5445936,609740
1777845025.5158632,610740
1777845026.5200064,611740
1777845027.5292156,612740
1777845028.5194232,613740
1777845029.518303,614740
1777845030.5149014,615740
1777845031.511957,616740
1777845032.540001,617740
1777845033.516833,618740
1777845034.5163596,619740
1777845035.517216,620740
1777845036.518195,621740
1777845037.512744,622740
1777845038.5123641,623740
1777845039.5108898,624740
1777845040.512748,625740
1777845041.5164819,626740
1777845042.5097969,627740
1777845043.5200288,628740
1777845044.5152051,629740
1777845045.5153444,630740
1777845046.514371,631740
1777845047.5130575,632740
1777845048.5111737,633740
1777845049.5178192,634740
1777845050.5115802,635740
1777845051.5130014,636740
1777845052.5127847,637740
1777845053.5126984,638740
1777845054.5131643,639740
1777845055.513084,640740
1777845056.5192993,641740
1777845057.5122705,642740
1777845058.5127933,643740
1777845059.510517,644740
1777845060.5139508,645740
1777845061.5133512,646740
1777845062.5121133,647740
1777845063.5140948,648740
1777845064.512117,649740
1777845065.511414,650740
1777845066.5111206,651740
1777845067.529311,652740
1777845068.5122073,653740
1777845069.513589,654740
1777845070.5124085,655740
1777845071.5196984,656740
1777845072.5131807,657740
1777845073.5165136,658740
1777845074.510881,659740
1777845075.5111964,660740
1777845076.5129068,661740
1777845077.5134866,662740
1777845078.5117228,663740
1777845079.511478,664740
1777845080.5094736,665740
1777845081.5152469,666740
1777845082.5121422,667740
1777845083.512575,668740
1777845084.5114713,669740
1777845085.5110488,670740
1777845086.5114758,671740
1777845087.5108292,672740
1777845088.5109098,673740
1777845089.515262,674740
1777845090.511964,675740
1777845091.5113163,676740
1777845092.5221558,677740
1777845093.515524,678740
1777845094.5146658,679740
1777845095.5119326,680740
1777845096.5118997,681740
1777845097.5126634,682740
1777845098.5129814,683740
1777845099.5106165,684740
1777845100.510866,685740
1777845101.5148568,686740
1777845102.5121565,687740
1777845103.5145466,688740
1777845104.5115452,689740
1777845105.5108259,690740
1777845106.5139565,691740
1777845107.5137103,692740
1777845108.5201252,693740
1777845109.509891,694740
1777845110.5111334,695740
1777845111.510982,696740
1777845112.511927,697740
1777845113.5111403,698740
1777845114.5113547,699740
1777845115.5110648,700740
1777845116.5110798,701740
1777845117.5119913,702740
1777845118.5129476,703740
1777845119.5120354,704740
1777845120.5175464,705740
1777845121.5117884,706740
1777845122.5133784,707740
1777845123.5118623,708740
1777845124.5113175,709740
1777845125.512218,710740
1777845126.510515,711740
1777845127.5393453,712740
1777845128.5104406,713740
1777845129.5141113,714740
1777845130.511716,715740
1777845131.5145214,716740
1777845132.51102,717740
1777845133.511236,718740
1777845134.5120811,719740
1777845135.5100985,720740
1777845136.511497,721740
1777845137.516369,722740
1777845138.511287,723740
1777845139.5111945,724740
1777845140.518163,725740
1777845141.5140636,726740
1777845142.5157719,727740
1777845143.514405,728740
1777845144.513228,729740
1777845145.5140028,730740
1777845146.5135193,731740
1777845147.5127,732740
1777845148.510717,733740
1777845149.5104911,734740
1777845150.5115533,735740
1777845151.5108633,736740
1777845152.5115747,737740
1777845153.512907,738740
1777845154.5109508,739740
1777845155.517703,740740
1777845156.5172198,741740
1777845157.5101953,742740
1777845158.5197597,743740
1777845159.5147138,744740
1777845160.5197387,745740
1777845161.515437,746740
1777845162.5109408,747740
1777845163.5155177,748740
1777845164.5130198,749740
1777845165.5109017,750740
1777845166.5117254,751740
1777845167.5129373,752740
1777845168.5128822,753740
1777845169.515387,754740
1777845170.5137115,755740
1777845171.513085,756740
1777845172.5152287,757740
1777845173.511248,758740
1777845174.5144372,759740
1777845175.5107758,760740
1777845176.512946,761740
1777845177.5102398,762740
1777845178.5137832,763740
1777845179.511164,764740
1777845180.5135422,765740
1777845181.5119908,766740
1777845182.5112083,767740
1777845183.5097492,768740
1777845184.5098927,769740
1777845185.51258,770740
1777845186.5251062,771740
1777845187.5103092,772740
1777845188.5108783,773740
1777845189.5123048,774740
1777845190.514296,775740
1777845191.5164874,776740
1777845192.5113258,777740
1777845193.5147607,778740
1777845194.5113075,779740
1777845195.509946,780740
1777845196.513938,781740
1777845197.510465,782740
1777845198.5106785,783740
1777845199.508466,784740
1777845200.5220025,785740
1777845201.5117471,786740
1777845202.5099587,787740
1777845203.5120974,788740
1777845204.5147119,789740
1777845205.5102901,790740
1777845206.5141013,791740
1777845207.5113664,792740
1777845208.5097773,793740
1777845209.5113304,794740
1777845210.5093255,795740
1777845211.5123036,796740
1777845212.5094802,797740
1777845213.5151186,798740
1777845214.5108788,799740
1777845215.5110219,800740
1777845216.509629,801740
1777845217.5152783,802740
1777845218.5102332,803740
1777845219.5117226,804740
1777845220.5093133,805740
1777845221.5151882,806740
1777845222.511909,807740
1777845223.5110972,808740
1777845224.5092142,809740
1777845225.5163646,810740
1777845226.510582,811740
1777845227.5161011,812740
1777845228.512368,813740
1777845229.5104191,814740
1777845230.5114756,815740
1777845231.5098455,816740
1777845232.5126143,817740
1777845233.512596,818740
1777845234.5195692,819740
1777845235.5149393,820740
1777845236.51624,821740
1777845237.515725,822740
1777845238.5137851,823740
1777845239.5182214,824740
1777845240.5120916,825740
1777845241.5114968,826740
1777845242.5147326,827740
1777845243.5135214,828740
1777845244.5122688,829740
1777845245.5122464,830740
1777845246.5106597,831740
1777845247.5102577,832740
1777845248.5097692,833740
1777845249.511021,834740
1777845250.5109627,835740
1777845251.5112128,836740
1777845252.511466,837740
1777845253.5095484,838740
1777845254.5117724,839740
1777845255.510067,840740
1777845256.5129442,841740
1777845257.509331,842740
1777845258.5097337,843740
1777845259.5204554,844740
1777845260.5141947,845740
1777845261.5113304,846740
1777845262.5140667,847740
1777845263.5113535,848740
1777845264.5101826,849740
1777845265.510611,850740
1777845266.5194747,851740
1777845267.5153272,852740
1777845268.5156596,853740
1777845269.5091434,854740
1777845270.5100098,855740
1777845271.5108502,856740
1777845272.509262,857740
1777845273.510371,858740
1777845274.5112936,859740
1777845275.5134075,860740
1777845276.5102148,861740
1777845277.5104022,862740
1777845278.508916,863740
1777845279.5107238,864740
1777845280.513679,865740
1777845281.5141256,866740
1777845282.5102654,867740
1777845283.5107968,868740
1777845284.510525,869740
