arrival_time,tsval
1777243491.8206823,30590
1777243491.9204667,30690
1777243492.0263627,30790
1777243492.1187143,30890
1777243492.2211335,30990
1777243492.3377206,31090
1777243492.4211378,31190
1777243492.5241895,31290
1777243492.6254556,31390
1777243492.7216911,31490
1777243492.8213294,31590
1777243492.9237838,31690
1777243493.0211027,31790
1777243493.1213806,31890
1777243493.2260702,31990
1777243493.3622925,32120
1777243493.4236293,32190
1777243493.5203686,32290
1777243493.666027,32390
1777243493.723947,32490
1777243493.8274424,32590
1777243493.9197323,32690
1777243494.0195475,32790
1777243494.1212876,32890
1777243494.2435086,33010
1777243494.3561323,33120
1777243494.4296339,33190
1777243494.5209937,33290
1777243494.6228492,33390
1777243494.7218325,33490
1777243494.8242886,33590
1777243494.9220862,33690
1777243495.0229876,33790
1777243495.1262984,33890
1777243495.2201858,33990
1777243495.3254812,34090
1777243495.419534,34190
1777243495.5211802,34290
1777243495.6205676,34390
1777243495.7208743,34490
1777243495.8209293,34590
1777243495.9238405,34690
1777243496.019945,34790
1777243496.1246908,34890
1777243496.2208612,34990
1777243496.3245435,35090
1777243496.4198022,35190
1777243496.535815,35290
1777243496.6245663,35390
1777243496.7208328,35490
1777243496.8214896,35590
1777243496.9274917,35690
1777243497.0201654,35790
1777243497.130062,35890
1777243497.2204983,35990
1777243497.3265972,36090
1777243497.421171,36190
1777243497.5271816,36290
1777243497.622075,36390
1777243497.724282,36490
1777243497.8225598,36590
1777243497.9234142,36690
1777243498.024182,36790
1777243498.1341407,36890
1777243498.2207875,36990
1777243498.383753,37090
1777243498.4185445,37190
1777243498.5222204,37290
1777243498.6243668,37390
1777243498.7269676,37490
1777243498.819415,37590
1777243498.924064,37690
1777243499.023304,37790
1777243499.1328614,37890
1777243499.2328932,37990
1777243499.3460443,38090
1777243499.4216337,38190
1777243499.562833,38290
1777243499.6245222,38390
1777243499.7285335,38490
1777243499.8189402,38590
1777243499.9207022,38690
1777243500.0185003,38790
1777243500.126256,38890
1777243500.2217636,38990
1777243500.3251238,39090
1777243500.4305255,39190
1777243500.5254946,39290
1777243500.629589,39390
1777243500.7199385,39490
1777243500.8242536,39590
1777243500.9249516,39690
1777243501.020671,39790
1777243501.1325269,39890
1777243501.2189221,39990
1777243501.384965,40090
1777243501.4202976,40190
1777243501.5225503,40290
1777243501.6249008,40390
1777243501.720996,40490
1777243501.8189287,40590
1777243501.921946,40690
1777243502.0240557,40790
1777243502.1231782,40890
1777243502.2299802,40990
1777243502.326462,41090
1777243502.4195855,41190
1777243502.521318,41290
1777243502.6240144,41390
1777243502.7189584,41490
1777243502.824334,41590
1777243502.920392,41690
1777243503.021932,41790
1777243503.1224468,41890
1777243503.2218616,41990
1777243503.4120169,42090
1777243503.4733856,42230
1777243503.5195785,42290
1777243503.6214738,42390
1777243503.721002,42490
1777243503.8680668,42630
1777243503.9189618,42690
1777243504.0191054,42790
1777243504.121123,42890
1777243504.2202048,42990
1777243504.3222744,43090
1777243504.420555,43190
1777243504.5189826,43290
1777243504.622136,43390
1777243504.7298856,43490
1777243504.8248975,43590
1777243504.922299,43690
1777243505.024476,43790
1777243505.1250038,43890
1777243505.2216172,43990
