arrival_time,tsval
1777250374.5610425,5580
1777250375.5521076,6580
1777250376.5568523,7580
1777250377.5509343,8580
1777250378.5552626,9580
1777250379.551151,10580
1777250380.5510004,11580
1777250381.5506296,12580
1777250382.551171,13580
1777250383.5545666,14580
1777250384.5565698,15580
1777250385.5506043,16580
1777250386.5507016,17580
1777250387.5504744,18580
1777250388.5583606,19580
1777250389.5511446,20580
1777250390.550931,21580
1777250391.5539067,22580
1777250392.5520005,23580
1777250393.5510333,24580
1777250394.5508745,25580
1777250395.5518353,26580
1777250396.5549083,27580
1777250397.552366,28580
1777250398.5514894,29580
1777250399.5509338,30580
1777250400.550733,31580
1777250401.5506134,32580
1777250402.5591428,33580
1777250403.5508995,34580
1777250404.5556781,35580
1777250405.55328,36580
1777250406.5504766,37580
1777250407.550853,38580
1777250408.5507607,39580
1777250409.5509613,40580
1777250410.550735,41580
1777250411.5508897,42580
1777250412.5510397,43580
1777250413.5508451,44580
1777250414.5524442,45580
1777250415.556934,46580
1777250416.550724,47580
1777250417.5528219,48580
1777250418.5647943,49580
1777250419.550687,50580
1777250420.5507848,51580
1777250421.5507212,52580
1777250422.5601773,53580
1777250423.5499957,54580
1777250424.550429,55580
1777250425.5497506,56580
1777250426.5509236,57580
1777250427.5522864,58580
1777250428.55171,59580
1777250429.5507307,60580
1777250430.5511355,61580
1777250431.5539484,62580
1777250432.5515566,63580
1777250433.5522995,64580
1777250434.552886,65580
1777250435.5505786,66580
1777250436.551048,67580
1777250437.5527012,68580
1777250438.5508015,69580
1777250439.5527909,70580
1777250440.5517592,71580
1777250441.5509653,72580
1777250442.5516088,73580
1777250443.5520172,74580
1777250444.5508335,75580
1777250445.551004,76580
1777250446.5509126,77580
1777250447.5507271,78580
1777250448.5498867,79580
1777250449.55221,80580
1777250450.5508506,81580
1777250451.5506768,82580
1777250452.5565135,83580
1777250453.550882,84580
1777250454.5508213,85580
1777250455.5507474,86580
1777250456.550917,87580
1777250457.5509958,88580
1777250458.552487,89580
1777250459.5509286,90580
1777250460.551047,91580
1777250461.55016,92580
1777250462.552698,93580
1777250463.552572,94580
1777250464.5504835,95580
1777250465.5506632,96580
1777250466.5505457,97580
1777250467.5505428,98580
1777250468.5540302,99580
1777250469.5548437,100580
1777250470.5504932,101580
1777250471.5505075,102580
1777250472.5506291,103580
1777250473.5521991,104580
1777250474.5506792,105580
1777250475.5504987,106580
1777250476.552953,107580
1777250477.5548544,108580
1777250478.549637,109580
1777250479.5502706,110580
1777250480.550099,111580
1777250481.5505412,112580
1777250482.5515044,113580
1777250483.5505729,114580
1777250484.5527165,115580
1777250485.5507698,116580
1777250486.5529118,117580
1777250487.5503056,118580
1777250488.5505733,119580
1777250489.5514421,120580
1777250490.5505285,121580
1777250491.5497785,122580
1777250492.554892,123580
1777250493.5529108,124580
1777250494.5507247,125580
1777250495.5513039,126580
1777250496.552712,127580
1777250497.5840878,128580
1777250498.550682,129580
1777250499.5611854,130580
1777250500.5506256,131580
1777250501.5506063,132580
1777250502.5509245,133580
1777250503.5541015,134580
1777250504.5506196,135580
1777250505.551043,136580
1777250506.5904138,137580
1777250507.5569267,138580
1777250508.5516148,139580
1777250509.5592682,140580
1777250510.5529835,141580
1777250511.5507655,142580
1777250512.553011,143580
1777250513.550589,144580
1777250514.550615,145580
1777250515.550691,146580
1777250516.5507846,147580
1777250517.550783,148580
1777250518.5507667,149580
1777250519.555258,150580
1777250520.55281,151580
1777250521.5509715,152580
1777250522.550718,153580
1777250523.551163,154580
1777250524.5507023,155580
1777250525.5536873,156580
1777250526.550619,157580
1777250527.5510612,158580
1777250528.552402,159580
1777250529.5522041,160580
1777250530.5508518,161580
1777250531.5515413,162580
1777250532.5505996,163580
1777250533.5550556,164580
1777250534.5541658,165580
1777250535.5545967,166580
1777250536.5508192,167580
1777250537.5507443,168580
1777250538.5507402,169580
1777250539.552609,170580
1777250540.5514786,171580
1777250541.5508668,172580
1777250542.5591438,173580
1777250543.55233,174580
1777250544.5509522,175580
1777250545.549219,176580
1777250546.5511086,177580
1777250547.551237,178580
1777250548.5508168,179580
1777250549.5506184,180580
1777250550.554655,181580
1777250551.5506563,182580
1777250552.550743,183580
1777250553.5518293,184580
1777250554.5499527,185580
1777250555.550281,186580
1777250556.5516157,187580
1777250557.5514374,188580
1777250558.551142,189580
1777250559.5521421,190580
1777250560.550784,191580
1777250561.5507128,192580
1777250562.5533955,193580
1777250563.5496793,194580
1777250564.5504098,195580
1777250565.5523245,196580
1777250566.550611,197580
1777250567.5509536,198580
1777250568.5543242,199580
1777250569.5505779,200580
1777250570.5506825,201580
1777250571.5504777,202580
1777250572.5505884,203580
1777250573.550914,204580
1777250574.5508146,205580
1777250575.5505733,206580
1777250576.5498753,207580
1777250577.5505893,208580
1777250578.553998,209580
1777250579.556409,210580
1777250580.5552745,211580
1777250581.55041,212580
1777250582.5523667,213580
1777250583.5588405,214580
1777250584.55366,215580
1777250585.5506737,216580
1777250586.550633,217580
1777250587.5596106,218580
1777250588.5524983,219580
1777250589.55128,220580
1777250590.550625,221580
1777250591.550786,222580
1777250592.5507236,223580
1777250593.5519862,224580
1777250594.5507393,225580
1777250595.5504916,226580
1777250596.551111,227580
1777250597.5540543,228580
1777250598.552667,229580
1777250599.551657,230580
1777250600.5538998,231580
1777250601.5522995,232580
1777250602.551076,233580
1777250603.550701,234580
1777250604.5513315,235580
1777250605.5506861,236580
1777250606.5504336,237580
1777250607.5507367,238580
1777250608.5515795,239580
1777250609.5507257,240580
1777250610.559356,241580
1777250611.5509799,242580
1777250612.5507069,243580
1777250613.550887,244580
1777250614.5544944,245580
1777250615.5500557,246580
1777250616.5507038,247580
1777250617.5510035,248580
