arrival_time,tsval
1777248550.0493681,9770
1777248551.0493348,10770
1777248552.0494788,11770
1777248553.049382,12770
1777248554.0542064,13770
1777248555.0493164,14770
1777248556.0493226,15770
1777248557.0495038,16770
1777248558.049831,17770
1777248559.0487092,18770
1777248560.0495229,19770
1777248561.052152,20770
1777248562.078518,21770
1777248563.058905,22770
1777248564.0496542,23770
1777248565.049518,24770
1777248566.049503,25770
1777248567.0501592,26770
1777248568.0495498,27770
1777248569.0504158,28770
1777248570.0620468,29770
1777248571.0562875,30770
1777248572.0495117,31770
1777248573.0508573,32770
1777248574.0506003,33770
1777248575.05098,34770
1777248576.053989,35770
1777248577.049692,36770
1777248578.05434,37770
1777248579.0496366,38770
1777248580.05502,39770
1777248581.0495396,40770
1777248582.0641932,41770
1777248583.0498967,42770
1777248584.0557182,43770
1777248585.049762,44770
1777248586.049737,45770
1777248587.0496988,46770
1777248588.050605,47770
1777248589.0498228,48770
1777248590.0496829,49770
1777248591.0495286,50770
1777248592.0526001,51770
1777248593.0489051,52770
1777248594.0500798,53770
1777248595.066466,54770
1777248596.0534601,55770
1777248598.1820586,57900
1777248598.185896,57900
1777248599.0504723,58770
1777248600.0512192,59770
1777248601.0495718,60770
1777248602.0494306,61770
1777248603.0494893,62770
1777248604.0496285,63770
1777248605.0500948,64770
1777248606.0492554,65770
1777248607.0558915,66770
1777248608.0506124,67770
1777248609.0520296,68770
1777248610.0528502,69770
1777248611.0499601,70770
1777248612.050054,71770
1777248613.0530844,72770
1777248614.051886,73770
1777248615.0555387,74770
1777248616.049783,75770
1777248617.0522614,76770
1777248618.0497582,77770
1777248619.0498772,78770
1777248620.049795,79770
1777248621.0502465,80770
1777248622.0492854,81770
1777248623.0480509,82770
1777248624.051316,83770
1777248625.0500977,84770
1777248626.0494118,85770
1777248627.0511174,86770
1777248628.049428,87770
1777248629.0494516,88770
1777248630.0494096,89770
1777248631.0517602,90770
1777248632.058079,91770
1777248633.0517843,92770
1777248634.0495908,93770
1777248635.0509515,94770
1777248636.0536015,95770
1777248637.0495598,96770
1777248638.0497167,97770
1777248639.0513425,98770
1777248640.0493314,99770
1777248641.0496068,100770
1777248642.0497477,101770
1777248643.053573,102770
1777248644.0564039,103770
1777248645.0501263,104770
1777248646.0496254,105770
1777248647.0495088,106770
1777248648.0487921,107770
1777248649.049919,108770
1777248650.0497365,109770
1777248651.0494828,110770
1777248652.0485804,111770
1777248653.0494392,112770
1777248654.049502,113770
1777248655.0493765,114770
1777248656.0497417,115770
1777248657.0485122,116770
1777248658.0497496,117770
1777248659.0496862,118770
1777248660.0580854,119770
1777248661.0619678,120770
1777248662.0501559,121770
1777248663.0498867,122770
1777248664.0497262,123770
1777248665.0516412,124770
1777248666.0498192,125770
1777248667.0496066,126770
1777248668.0496607,127770
1777248669.0505414,128770
1777248670.054897,129770
1777248671.0515196,130770
1777248672.0613868,131770
1777248673.0507808,132770
1777248674.0535443,133770
1777248675.049691,134770
1777248676.0498075,135770
1777248677.0525184,136770
1777248678.050008,137770
1777248679.0508618,138770
1777248680.0497508,139770
1777248682.1788068,141900
1777248682.1819243,141900
1777248683.0494804,142770
1777248684.0498354,143770
1777248685.0510464,144770
1777248686.0499454,145770
1777248687.0495915,146770
1777248688.0921588,147770
1777248689.0496185,148770
1777248690.049579,149770
1777248691.0728905,150770
1777248692.0498927,151770
1777248693.0496767,152770
1777248694.0498734,153770
1777248695.05125,154770
1777248696.0498056,155770
1777248698.180054,157900
1777248698.1840882,157900
1777248699.0497828,158770
1777248700.0496082,159770
1777248701.0497565,160770
1777248702.0497277,161770
1777248703.0494866,162770
1777248704.0498958,163770
1777248705.0497596,164770
1777248706.0497787,165770
1777248707.052452,166770
1777248708.0580835,167770
1777248709.0498078,168770
1777248710.0498528,169770
1777248711.0502276,170770
1777248712.0499287,171770
1777248713.0498211,172770
1777248714.0500453,173770
1777248715.054625,174770
1777248716.051217,175770
1777248717.0509038,176770
1777248718.049783,177770
1777248719.049782,178770
1777248720.0516033,179770
1777248721.0561082,180770
1777248722.0497236,181770
1777248723.04981,182770
1777248724.052276,183770
1777248725.0493073,184770
1777248726.050019,185770
1777248727.0499394,186770
1777248728.0499,187770
1777248729.0499344,188770
1777248730.0519848,189770
1777248731.049964,190770
1777248732.0503035,191770
1777248733.049907,192770
1777248734.0499413,193770
1777248735.0500576,194770
1777248736.0500128,195770
1777248737.0504048,196770
1777248738.0567605,197770
1777248739.052144,198770
1777248740.0498912,199770
1777248741.0514324,200770
1777248742.0592203,201770
1777248743.0496953,202770
1777248744.0501428,203770
1777248745.0496855,204770
1777248746.0508146,205770
1777248747.0515652,206770
1777248748.0500128,207770
1777248749.0510075,208770
1777248750.0500531,209770
1777248751.049922,210770
1777248752.0498343,211770
1777248753.0497708,212770
1777248754.0545835,213770
1777248755.0567706,214770
1777248756.0501037,215770
1777248757.0497766,216770
1777248758.04971,217770
1777248759.0499997,218770
1777248760.0503397,219770
1777248761.0504098,220770
1777248762.0497262,221770
1777248763.0495389,222770
1777248764.0499485,223770
1777248765.0498786,224770
1777248766.0504582,225770
1777248767.0498219,226770
1777248768.0521514,227770
1777248769.0499089,228770
1777248770.0497856,229770
1777248771.0553875,230770
1777248772.0542004,231770
1777248773.049815,232770
1777248774.0500727,233770
1777248775.0499558,234770
1777248776.0499942,235770
1777248777.0500596,236770
1777248778.0500207,237770
1777248779.0503619,238770
1777248780.0509636,239770
1777248781.0499544,240770
1777248782.0498252,241770
1777248783.0498776,242770
1777248784.049761,243770
1777248785.0492108,244770
1777248786.0499287,245770
1777248787.050008,246770
1777248788.0500953,247770
1777248789.0527742,248770
1777248790.0499732,249770
1777248791.0500088,250770
1777248792.049917,251770
1777248793.053102,252770
1777248794.0500257,253770
1777248795.0498946,254770
1777248796.052025,255770
1777248797.0514708,256770
1777248798.0549688,257770
1777248799.0500693,258770
1777248800.0499182,259770
1777248801.054714,260770
1777248802.0551252,261770
1777248803.0507672,262770
1777248804.0501912,263770
1777248805.050199,264770
1777248806.0501995,265770
1777248807.050144,266770
1777248808.0509095,267770
1777248809.0502498,268770
1777248810.0497646,269770
1777248811.0501132,270770
1777248812.0510411,271770
1777248813.0509012,272770
1777248814.049216,273770
1777248815.0526226,274770
1777248816.0501275,275770
1777248817.0506878,276770
1777248818.0528886,277770
1777248819.0560246,278770
1777248820.0499988,279770
1777248821.050357,280770
1777248822.0505278,281770
1777248823.0577848,282770
1777248824.0529463,283770
1777248825.051088,284770
1777248826.0501049,285770
1777248827.0515845,286770
1777248828.0588157,287770
1777248829.0502625,288770
1777248830.0500488,289770
1777248831.0520945,290770
1777248832.049445,291770
1777248833.052906,292770
1777248834.0514207,293770
1777248835.0551965,294770
1777248836.050227,295770
1777248837.0504255,296770
1777248838.0509174,297770
1777248839.050442,298770
1777248840.052934,299770
1777248841.0502713,300770
1777248842.0542488,301770
1777248843.0502446,302770
1777248844.0528264,303770
1777248845.0501645,304770
1777248846.050185,305770
1777248847.0506365,306770
1777248848.0510957,307770
1777248849.0517545,308770
1777248850.050182,309770
1777248851.0523834,310770
1777248852.0510201,311770
1777248853.051599,312770
1777248854.0508387,313770
1777248855.0507946,314770
1777248856.0503168,315770
1777248857.050662,316770
1777248858.050393,317770
1777248859.050279,318770
1777248860.0503068,319770
1777248861.050132,320770
1777248862.0510585,321770
1777248863.0501986,322770
1777248864.0502996,323770
1777248865.0504143,324770
1777248866.049597,325770
1777248867.0503376,326770
1777248868.050336,327770
1777248869.0504441,328770
1777248870.0540133,329770
1777248871.0504687,330770
1777248872.050319,331770
1777248873.0505164,332770
1777248874.05089,333770
1777248875.050518,334770
1777248876.050572,335770
1777248877.051816,336770
1777248878.0583854,337770
1777248879.0500507,338770
1777248880.0520084,339770
1777248881.050344,340770
1777248882.054124,341770
1777248883.0605903,342770
1777248884.0501373,343770
1777248885.0504606,344770
1777248886.05018,345770
1777248887.052627,346770
1777248888.0550113,347770
1777248889.050274,348770
1777248890.0506027,349770
1777248891.0504727,350770
1777248892.0501807,351770
1777248893.0510936,352770
1777248894.0520747,353770
1777248895.051002,354770
1777248896.0520039,355770
1777248897.0506258,356770
1777248898.0522146,357770
1777248899.0504346,358770
1777248900.0500188,359770
1777248901.0504308,360770
1777248902.0527046,361770
1777248903.0513897,362770
1777248904.0597885,363770
1777248905.0595818,364780
1777248906.060369,365780
1777248907.060545,366780
1777248908.0679312,367780
1777248909.0719588,368780
1777248910.0603638,369780
1777248911.0605962,370780
1777248912.0609818,371780
1777248913.0619226,372780
1777248914.061053,373780
1777248915.0605855,374780
1777248916.0603905,375780
1777248917.060485,376780
1777248918.0610704,377780
1777248919.0605028,378780
1777248920.0602798,379780
1777248921.0615733,380780
1777248922.0596812,381780
1777248923.0604389,382780
1777248924.0606296,383780
1777248925.0631003,384780
1777248926.0604932,385780
1777248927.0605755,386780
1777248928.060564,387780
1777248929.0604868,388780
1777248930.0656726,389780
1777248931.060266,390780
1777248932.0604796,391780
1777248933.0610104,392780
1777248934.059909,393780
1777248935.0609376,394780
1777248936.0603676,395780
1777248937.0615382,396780
1777248938.0603979,397780
1777248939.0618675,398780
1777248940.060599,399780
1777248941.0619197,400780
1777248942.061725,401780
1777248943.0701723,402780
1777248944.0627587,403780
1777248945.0604837,404780
1777248946.0606997,405780
1777248947.0616076,406780
1777248948.061924,407780
1777248949.0606983,408780
1777248950.060934,409780
1777248951.0615098,410780
1777248952.060617,411780
1777248953.0625908,412780
1777248954.0608692,413780
1777248955.063675,414780
1777248956.0614247,415780
1777248957.0607593,416780
1777248958.0607917,417780
1777248959.0617442,418780
1777248960.0613356,419780
1777248961.0607517,420780
1777248962.0607095,421780
1777248963.0606349,422780
1777248964.0632532,423780
1777248965.060749,424780
1777248966.0612872,425780
