arrival_time,tsval
1777905998.743726,8700
1777905999.766232,9700
1777906000.684162,10700
1777906001.7051644,11700
1777906002.7336442,12700
1777906003.752703,13700
1777906004.6740077,14700
1777906005.6982467,15700
1777906006.673883,16700
1777906007.746116,17700
1777906008.7702446,18700
1777906009.6915355,19700
1777906010.7162604,20700
1777906011.744652,21700
1777906012.7649071,22700
1777906013.6860266,23700
1777906014.7122388,24700
1777906015.733935,25700
1777906016.7646227,26700
1777906017.6878035,27700
1777906018.7130225,28700
1777906019.7325494,29700
1777906020.7515235,30700
1777906021.6727514,31700
1777906022.6971161,32700
1777906023.7210596,33700
1777906024.7449768,34700
1777906025.7683322,35700
1777906026.6904247,36700
1777906027.7147176,37700
1777906028.73888,38700
1777906029.762792,39700
1777906030.6839182,40700
1777906031.7132301,41700
1777906032.7324648,42700
1777906033.761049,43700
1777906034.6778576,44700
1777906035.7018487,45700
1777906036.7317185,46700
1777906037.7601924,47700
1777906038.6802099,48700
1777906039.6994843,49700
1777906040.7193983,50700
1777906041.7434556,51700
1777906042.7672546,52700
1777906043.6886332,53700
1777906044.7131808,54700
1777906045.7371058,55700
1777906046.7611408,56700
1777906047.682243,57700
1777906048.7106676,58700
1777906049.730564,59700
1777906050.753972,60700
1777906051.6752582,61700
1777906052.6996996,62700
1777906053.724202,63700
1777906054.7476945,64700
1777906055.7757154,65700
1777906056.6930168,66700
1777906057.7248154,67700
1777906058.7491088,68700
1777906059.7717688,69700
1777906060.6876569,70700
1777906061.7117805,71700
1777906062.7356558,72700
1777906063.7596934,73700
1777906064.6812847,74700
1777906065.7081902,75700
1777906066.729036,76700
1777906067.7561607,77700
1777906068.6746442,78700
1777906069.6988993,79700
1777906070.722747,80700
1777906071.7468526,81700
1777906072.771182,82700
1777906073.6920497,83700
1777906074.7163734,84700
1777906075.7405808,85700
1777906076.7703354,86700
1777906077.6941764,87700
1777906078.7179983,88700
1777906079.7399988,89700
1777906080.7583048,90700
1777906081.6800358,91700
1777906082.7037406,92700
1777906083.7278764,93700
1777906084.7519076,94700
1777906085.673325,95700
1777906086.6973414,96700
1777906087.724334,97700
1777906088.7456083,98700
1777906089.7700398,99700
1777906090.691089,100700
1777906091.7152116,101700
1777906092.7389343,102700
1777906093.7625682,103700
1777906094.6843226,104700
1777906095.708436,105700
1777906096.7388167,106700
1777906097.766738,107700
1777906098.6859186,108700
1777906099.7069447,109700
1777906100.7272627,110700
1777906101.7513888,111700
1777906102.7742338,112700
1777906103.695791,113700
1777906104.720497,114700
1777906105.743809,115700
1777906106.7676823,116700
1777906107.689132,117700
1777906108.719505,118700
1777906109.7374544,119700
1777906110.7621396,120700
1777906111.6830509,121700
1777906112.7084074,122700
1777906113.731045,123700
1777906114.7552853,124700
1777906115.6766539,125700
1777906116.7005935,126700
1777906117.730656,127700
1777906118.753602,128700
1777906119.6743207,129700
1777906120.6951754,130700
1777906121.723759,131700
1777906122.7425544,132700
1777906123.7673388,133700
1777906124.6890304,134700
1777906125.7118158,135700
1777906126.7361646,136700
1777906127.7655191,137700
1777906128.6819828,138700
1777906129.705671,139700
1777906130.7295458,140700
1777906131.7552133,141700
1777906132.6750495,142700
1777906133.6990426,143700
1777906134.7232938,144700
1777906135.7483265,145700
1777906136.7785232,146700
1777906137.704287,147700
1777906138.7285738,148700
1777906139.7458498,149700
1777906140.7648664,150700
1777906141.6872706,151700
1777906142.710418,152700
1777906143.734764,153700
1777906144.758276,154700
1777906145.680844,155700
1777906146.70404,156700
1777906147.7280264,157700
1777906148.751877,158700
1777906149.6743724,159700
1777906150.6974497,160700
1777906151.7220075,161700
1777906152.7457778,162700
1777906153.7696426,163700
1777906154.6909657,164700
1777906155.7201655,165700
1777906156.7466547,166700
1777906157.7681973,167700
1777906158.6963286,168700
1777906159.7135422,169700
1777906160.7331424,170700
1777906161.7574036,171700
1777906162.678291,172700
1777906163.7025487,173700
1777906164.726644,174700
1777906165.7507763,175700
1777906166.671978,176700
1777906167.6962996,177700
1777906168.7204819,178700
1777906169.7451694,179700
1777906170.768162,180700
1777906171.6899056,181700
1777906172.7177997,182700
1777906173.73796,183700
1777906174.7623754,184700
1777906175.6834874,185700
1777906176.707761,186700
1777906177.740201,187700
1777906178.7609296,188700
1777906179.6817875,189700
1777906180.7016828,190700
1777906181.724228,191700
1777906182.7490256,192700
1777906183.6700544,193700
1777906184.693773,194700
1777906185.71804,195700
1777906186.7420614,196700
1777906187.7668931,197700
1777906188.6880293,198700
